UUID,Country
36e5dc43-5c26-4440-b19b-0742984419da,France
8e2f0934-f3bb-489a-8d97-134a444ae779,The Netherlands
29999211-ced8-4413-8e3c-e937a2dee56b,Norway
3a2c3185-1e14-49fc-a659-8a2bae13ee39,Finland
4f26daa5-7d65-4c9e-97c9-17e3582a28cb,Belgium
0a8c4ae1-0aaf-4c92-965a-809fc8d0bba8,Norway
b8f65244-111e-4697-968e-7b5390d5f8eb,Portugal
b9a68485-ea7d-4145-8c30-60cd2ef68609,United Kingdom
8664759d-44cf-48bc-b5b9-fbef2e4f2013,Spain
5bc4a05c-2353-4938-adab-5917ec26b42a,South Korea
bbf28fbe-f0ea-44f6-a6e5-e2be427387d7,Ireland
c483a8f4-d22a-4b8e-af32-1045b421357b,The Netherlands
7a059045-24c0-436e-a42a-c8bf57120556,United States of America
7caae6a0-4f8a-47ad-bad9-31cfe0320d81,United States of America
88a932c4-992e-4776-bac6-2c264227a492,United States of America
6ec835dd-848c-4bf1-bb53-cfbd57783330,Portugal
021712cc-0ba0-48b7-bb13-e2225ce3a556,The Netherlands
5862619e-26bb-4d89-9672-7ed9453b4264,Finland
bb031bc6-0fce-4b69-b49f-aa1ec3f1b8a3,Spain
9bd08316-1606-4806-9419-f6fe889e2c2b,Sweden
1d86bcb3-6132-4bd3-9f9e-5fc7b279e761,Belgium
93e793ff-a3cd-49fd-ba07-672bdae6b548,Finland
d088879d-d862-4d3f-901f-466b4720bcb5,South Korea
1a61579b-31dd-4fe3-a67f-c126c8dc877c,Poland
b298abf3-052b-45c4-b9f5-bd457cf0bd7a,Luxembourg
a26dd82b-1cb0-4803-be67-9770604b193e,Belgium
7c00cd15-244e-4401-bf6b-90a27fbe8822,Belgium
eab33958-003f-48b0-8ad3-295e222bd051,Spain
23d30562-bd78-46ff-87d3-c190ff50843a,Spain
351ef822-7d69-4bc7-9363-0e069bf8afe5,Portugal
cf20eae1-6f20-4cb0-be4b-26628000ad29,Norway
8f1e72ea-6178-4e08-b452-369043a18b23,United Kingdom
77318730-7f91-4b54-8eed-2a6be0069f23,Poland
8825aa68-2535-4e7f-b37a-df3a7267e2eb,Poland
023cbaf8-2fc7-411c-a5e0-5960b112ba6d,Norway
907b490e-c6c1-4515-a81f-da76a043ba83,Poland
2d875756-d3a5-4b6e-861c-b8c8fef491e7,Belgium
6d4287dc-b526-42db-b360-89c9f0e2141b,Germany
edd0e879-dc87-432a-9790-f230e86360d5,Poland
aaf462b7-435f-4fcd-b1e0-6b651b17a9db,Ireland
